取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-01-20T00:21:21.350900+09:00,天津,ZBTJ,-10,-25,330,3,,9999,1040,,,ZBTJ 191500Z 33003MPS CAVOK M10/M25 Q1040 NOSIG
2026-01-20T00:53:38.381641+09:00,天津,ZBTJ,-10,-25,330,3,,9999,1040,,,ZBTJ 191530Z 33003MPS CAVOK M10/M25 Q1040 NOSIG
2026-01-20T01:22:35.085232+09:00,天津,ZBTJ,-9,-26,320,4,,9999,1040,,,ZBTJ 191600Z 32004MPS 280V340 CAVOK M09/M26 Q1040 NOSIG
2026-01-20T01:59:01.873951+09:00,天津,ZBTJ,-10,-26,310,3,,9999,1040,,,ZBTJ 191630Z 31003MPS CAVOK M10/M26 Q1040 NOSIG
2026-01-20T02:27:27.921616+09:00,天津,ZBTJ,-11,-25,330,3,,9999,1040,,,ZBTJ 191700Z 33003MPS CAVOK M11/M25 Q1040 NOSIG
2026-01-20T02:51:56.495156+09:00,天津,ZBTJ,-12,-25,340,4,,9999,1040,,,ZBTJ 191730Z 34004MPS CAVOK M12/M25 Q1040 NOSIG
2026-01-20T03:24:48.584073+09:00,天津,ZBTJ,-12,-25,340,4,,9999,1040,,,ZBTJ 191800Z 34004MPS CAVOK M12/M25 Q1040 NOSIG
2026-01-20T03:58:15.391087+09:00,天津,ZBTJ,-11,-26,320,4,,9999,1040,,,ZBTJ 191830Z 32004MPS CAVOK M11/M26 Q1040 NOSIG
2026-01-20T04:21:56.715399+09:00,天津,ZBTJ,-11,-26,330,5,,9999,1040,,,ZBTJ 191900Z 33005MPS CAVOK M11/M26 Q1040 NOSIG
2026-01-20T04:45:38.457308+09:00,天津,ZBTJ,-12,-26,330,5,,9999,1040,,,ZBTJ 191930Z 33005MPS CAVOK M12/M26 Q1040 NOSIG
2026-01-20T05:18:44.204902+09:00,天津,ZBTJ,-12,-25,340,4,,9999,1039,,,ZBTJ 192000Z 34004MPS CAVOK M12/M25 Q1039 NOSIG
2026-01-20T05:41:41.390763+09:00,天津,ZBTJ,-13,-25,350,4,,9999,1039,,,ZBTJ 192030Z 35004MPS CAVOK M13/M25 Q1039 NOSIG
