取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-04-08T00:46:51.084182+09:00,天津,ZBTJ,8,-1,170,3,,9999,1016,,,ZBTJ 071530Z 17003MPS CAVOK 08/M01 Q1016 NOSIG
2026-04-08T01:51:07.146279+09:00,天津,ZBTJ,8,1,170,3,,9999,1016,,,ZBTJ 071630Z 17003MPS CAVOK 08/01 Q1016 NOSIG
2026-04-08T02:54:09.704372+09:00,天津,ZBTJ,7,2,140,2,,9999,1015,,,ZBTJ 071730Z 14002MPS CAVOK 07/02 Q1015 NOSIG
2026-04-08T03:56:19.611970+09:00,天津,ZBTJ,8,3,160,2,,9999,1014,,,ZBTJ 071830Z 16002MPS CAVOK 08/03 Q1014 NOSIG
2026-04-08T04:54:58.595420+09:00,天津,ZBTJ,7,3,160,2,,9999,1014,,,ZBTJ 071930Z 16002MPS CAVOK 07/03 Q1014 NOSIG
2026-04-08T05:40:59.779137+09:00,天津,ZBTJ,7,3,160,2,,9999,1013,,,ZBTJ 072030Z 16002MPS CAVOK 07/03 Q1013 NOSIG
2026-04-08T06:37:29.357687+09:00,天津,ZBTJ,8,3,160,2,,9999,1013,,BKN43,ZBTJ 072130Z 16002MPS 9999 BKN043 08/03 Q1013 NOSIG
2026-04-08T07:20:24.900787+09:00,天津,ZBTJ,9,3,150,2,,9999,1013,,BKN43,ZBTJ 072200Z 15002MPS 9999 BKN043 09/03 Q1013 NOSIG
2026-04-08T08:09:25.348922+09:00,天津,ZBTJ,10,1,150,2,,9999,1013,,BKN43,ZBTJ 072300Z 15002MPS 9999 BKN043 10/01 Q1013 NOSIG
2026-04-08T08:55:08.387987+09:00,天津,ZBTJ,10,1,160,2,,9999,1013,,BKN43,ZBTJ 072330Z 16002MPS 9999 BKN043 10/01 Q1013 NOSIG
2026-04-08T10:57:12.288182+09:00,天津,ZBTJ,15,4,220,4,,9999,1013,,,ZBTJ 080130Z 22004MPS 190V270 CAVOK 15/04 Q1013 NOSIG
2026-04-08T13:37:02.239043+09:00,天津,ZBTJ,20,6,240,4,,9999,1009,,,ZBTJ 080430Z 24004MPS 200V290 CAVOK 20/06 Q1009 NOSIG
2026-04-08T15:08:55.995172+09:00,天津,ZBTJ,21,5,200,6,,9999,1008,,,ZBTJ 080600Z 20006MPS 180V240 CAVOK 21/05 Q1008 NOSIG
2026-04-08T16:54:03.836395+09:00,天津,ZBTJ,19,7,140,7,,9999,1007,,,ZBTJ 080730Z 14007MPS CAVOK 19/07 Q1007 NOSIG
2026-04-08T17:55:10.831815+09:00,天津,ZBTJ,18,7,150,5,,9999,1007,,,ZBTJ 080830Z 15005MPS CAVOK 18/07 Q1007 NOSIG
