取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2025-12-30T00:17:52.159329+09:00,羽田,RJTT,10,3,360,5,,9999,1015,,,RJTT 291500Z 36005KT 240V050 CAVOK 10/03 Q1015 NOSIG RMK A2997
2025-12-30T00:39:27.845647+09:00,羽田,RJTT,8,3,320,6,,9999,1014,,,RJTT 291530Z 32006KT 250V340 CAVOK 08/03 Q1014 NOSIG
2025-12-30T00:52:30.096250+09:00,羽田,RJTT,8,3,320,6,,9999,1014,,,RJTT 291530Z 32006KT 250V340 CAVOK 08/03 Q1014 NOSIG RMK A2997
2025-12-30T01:19:55.298996+09:00,羽田,RJTT,8,4,40,7,,9999,1015,,,RJTT 291600Z 04007KT CAVOK 08/04 Q1015 NOSIG RMK A2997
2025-12-30T01:46:00.881972+09:00,羽田,RJTT,8,3,340,7,,9999,1015,,,RJTT 291630Z 34007KT CAVOK 08/03 Q1015 NOSIG RMK A2997
2025-12-30T02:14:43.340199+09:00,羽田,RJTT,8,3,10,4,,9999,1014,,,RJTT 291700Z 01004KT CAVOK 08/03 Q1014 NOSIG RMK A2997
2025-12-30T02:34:47.231698+09:00,羽田,RJTT,8,3,10,4,,9999,1014,,,RJTT 291700Z 01004KT CAVOK 08/03 Q1014 NOSIG RMK A2997
2025-12-30T02:47:33.332492+09:00,羽田,RJTT,7,2,,2,,9999,1014,,,RJTT 291730Z VRB02KT CAVOK 07/02 Q1014 NOSIG RMK A2997
2025-12-30T03:23:53.490811+09:00,羽田,RJTT,5,1,280,3,,9999,1014,,,RJTT 291800Z 28003KT CAVOK 05/01 Q1014 NOSIG RMK A2996
2025-12-30T03:55:08.110302+09:00,羽田,RJTT,5,1,290,4,,9999,1014,,,RJTT 291830Z 29004KT CAVOK 05/01 Q1014 NOSIG RMK A2996
2025-12-30T04:13:11.861614+09:00,羽田,RJTT,5,2,270,5,,9999,1014,,,RJTT 291900Z 27005KT CAVOK 05/02 Q1014 NOSIG RMK A2995
2025-12-30T04:29:06.048435+09:00,羽田,RJTT,5,2,270,5,,9999,1014,,,RJTT 291900Z 27005KT CAVOK 05/02 Q1014 NOSIG RMK A2995
2025-12-30T04:44:43.239161+09:00,羽田,RJTT,5,1,,1,,9999,1014,,,RJTT 291930Z VRB01KT CAVOK 05/01 Q1014 NOSIG RMK A2995
2025-12-30T05:18:33.798924+09:00,羽田,RJTT,6,1,,2,,9999,1014,,,RJTT 292000Z VRB02KT CAVOK 06/01 Q1014 NOSIG RMK A2995
2025-12-30T05:41:23.287392+09:00,羽田,RJTT,6,2,,1,,9999,1014,,,RJTT 292030Z VRB01KT CAVOK 06/02 Q1014 NOSIG RMK A2995
2025-12-30T06:14:44.588223+09:00,羽田,RJTT,6,3,70,3,,9999,1014,,,RJTT 292100Z 07003KT CAVOK 06/03 Q1014 NOSIG RMK A2996
