取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-01-01T00:16:24.595455+09:00,羽田,RJTT,8,4,10,11,,9999,1011,,FEW30 BKN170,RJTT 311500Z 01011KT 9999 FEW030 BKN170 08/04 Q1011 NOSIG RMK 1CU030 7AC170 A2987
2026-01-01T00:35:51.638241+09:00,羽田,RJTT,8,4,10,11,,9999,1011,,FEW30 BKN170,RJTT 311500Z 01011KT 9999 FEW030 BKN170 08/04 Q1011 NOSIG RMK 1CU030 7AC170 A2987
2026-01-01T00:48:12.766609+09:00,羽田,RJTT,8,4,10,10,,9999,1010,,FEW25 BKN60,RJTT 311530Z 01010KT 9999 FEW025 BKN060 08/04 Q1010 NOSIG RMK 1CU025 7SC060 A2985
2026-01-01T01:20:09.218580+09:00,羽田,RJTT,8,5,20,14,,9999,1010,,SCT50,RJTT 311600Z 02014KT 9999 SCT050 08/05 Q1010 NOSIG RMK 4SC050 A2984
2026-01-01T01:45:16.032827+09:00,羽田,RJTT,7,4,20,11,,9999,1010,,FEW30 BKN50,RJTT 311630Z 02011KT 9999 FEW030 BKN050 07/04 Q1010 NOSIG RMK 1CU030 7SC050 A2984
2026-01-01T02:14:17.567559+09:00,羽田,RJTT,6,3,30,12,,9999,1010,,BKN50,RJTT 311700Z 03012KT 9999 BKN050 06/03 Q1010 NOSIG RMK 7SC050 A2985
2026-01-01T02:34:12.599691+09:00,羽田,RJTT,6,3,30,12,,9999,1010,,BKN50,RJTT 311700Z 03012KT 9999 BKN050 06/03 Q1010 NOSIG RMK 7SC050 A2985
2026-01-01T02:46:26.737694+09:00,羽田,RJTT,6,3,20,11,,9999,1010,,BKN50,RJTT 311730Z 02011KT 9999 BKN050 06/03 Q1010 NOSIG RMK 7SC050 A2985
2026-01-01T03:22:55.946250+09:00,羽田,RJTT,6,2,10,10,,9999,1010,,FEW30 BKN60,RJTT 311800Z 01010KT 9999 FEW030 BKN060 06/02 Q1010 NOSIG RMK 1CU030 7SC060 A2985
2026-01-01T03:54:43.128626+09:00,羽田,RJTT,6,2,10,9,,9999,1011,,FEW30 BKN60,RJTT 311830Z 01009KT 9999 FEW030 BKN060 06/02 Q1011 NOSIG RMK 1CU030 7SC060 A2985
2026-01-01T04:12:19.355079+09:00,羽田,RJTT,6,2,10,9,,9999,1010,,FEW30 BKN60,RJTT 311900Z 01009KT 9999 FEW030 BKN060 06/02 Q1010 NOSIG
2026-01-01T04:29:01.828462+09:00,羽田,RJTT,6,2,10,9,,9999,1010,,FEW30 BKN60,RJTT 311900Z 01009KT 9999 FEW030 BKN060 06/02 Q1010 NOSIG RMK 1CU030 7SC060 A2984
2026-01-01T04:44:34.287946+09:00,羽田,RJTT,6,2,10,10,,9999,1010,,FEW30 BKN60,RJTT 311930Z 01010KT 9999 FEW030 BKN060 06/02 Q1010 NOSIG RMK 1CU030 7SC060 A2984
2026-01-01T05:17:12.229084+09:00,羽田,RJTT,6,2,20,9,,9999,1011,,FEW30 BKN50,RJTT 312000Z 02009KT 9999 FEW030 BKN050 06/02 Q1011 NOSIG RMK 1CU030 7SC050 A2985
2026-01-01T05:38:33.809916+09:00,羽田,RJTT,6,2,20,9,,9999,1011,,FEW30 BKN50,RJTT 312000Z 02009KT 9999 FEW030 BKN050 06/02 Q1011 NOSIG RMK 1CU030 7SC050 A2985
2026-01-01T05:50:57.202189+09:00,羽田,RJTT,6,2,10,9,,9999,1011,,FEW30 BKN50,RJTT 312030Z 01009KT 9999 FEW030 BKN050 06/02 Q1011 NOSIG RMK 1CU030 7SC050 A2986
2026-01-01T06:14:08.264397+09:00,羽田,RJTT,6,1,10,9,,9999,1011,,FEW30 BKN50,RJTT 312100Z 01009KT 9999 FEW030 BKN050 06/01 Q1011 NOSIG RMK 1CU030 7SC050 A2987
